PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-1	chr1	121485162	121485490	+	8301.6	0.710	Intergenic	ALR/Alpha|Satellite|centr	224416	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chrM-1	chrM	15974	16302	+	2199.1	0.696	Intergenic	Intergenic	-8623	NR_162149	113219467		NR_162149		MIR12136	-	microRNA 12136	ncRNA
chrM-2	chrM	42	370	+	734.4	0.752	promoter-TSS (NR_137294)	promoter-TSS (NR_137294)	-444	NR_137294								
chr10-5	chr10	42392566	42392894	+	213.6	0.981	Intergenic	HSATII|Satellite|Satellite	470763	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr3-1	chr3	196625552	196625880	+	91.1	0.978	intron (NM_001308045, intron 2 of 8)	HSATII|Satellite|Satellite	30925	NM_152699	205564	Hs.240770	NM_152699	ENSG00000119231	SENP5	-	SUMO specific peptidase 5	protein-coding
chr1-2	chr1	110662515	110662843	+	70.9	0.846	Intergenic	Intergenic	7614	NM_203412	164153	Hs.374027	NM_203412	ENSG00000186150	UBL4B	-	ubiquitin like 4B	protein-coding
chr17-2	chr17	22261424	22261752	+	69.8	0.959	Intergenic	ALR/Alpha|Satellite|centr	239151	NM_001190452	100462977	Hs.740185	NM_001190452	ENSG00000256618	MTRNR2L1	HN1	MT-RNR2 like 1	protein-coding
chr21-1	chr21	9826776	9827104	+	69.3	0.821	TTS (NR_037421)	TTS (NR_037421)	490	NR_162105	113218501		NR_162105		MIR10396A	-	microRNA 10396a	ncRNA
chr19-2	chr19	27738319	27738647	+	62.8	0.953	Intergenic	ALR/Alpha|Satellite|centr	-545856	NR_146735	101927151	Hs.567934	NR_110687	ENSG00000267575	LOC101927151	-	uncharacterized LOC101927151	ncRNA
chr21-2	chr21	11186462	11186790	+	59.2	0.888	Intergenic	AluSc8|SINE|Alu	-87689	NM_001187	574	Hs.545789	NM_001187		BAGE	BAGE1|CT2.1	B melanoma antigen	protein-coding
chr11-1	chr11	51579458	51579786	+	47.6	0.969	Intergenic	ALR/Alpha|Satellite|centr	64340	NM_001004703	119749	Hs.553564	NM_001004703	ENSG00000185926	OR4C46	-	olfactory receptor family 4 subfamily C member 46	protein-coding
chr1-3	chr1	3614524	3614852	+	47.6	0.841	promoter-TSS (NM_001204192)	promoter-TSS (NM_001204192)	78	NM_001204192	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
chr22-1	chr22	18879843	18880171	+	46.6	0.979	intron (NR_136571, intron 1 of 11)	AluSc8|SINE|Alu	1937	NR_136571	100996432	Hs.631668	NR_136571		FAM230F	LINC01663	family with sequence similarity 230 member F	ncRNA
chr19-3	chr19	17416108	17416436	+	45.0	0.910	promoter-TSS (NM_023937)	promoter-TSS (NM_023937)	-409	NM_023937	64981	Hs.515242	NM_023937	ENSG00000130312	MRPL34	L34mt	mitochondrial ribosomal protein L34	protein-coding
chr8-2	chr8	144487462	144487790	+	44.0	0.697	Intergenic	Intergenic	-12223	NR_126358	104326051	Hs.202140	NR_126358	ENSG00000254338	MAFA-AS1	TCONS_00014882	MAFA antisense RNA 1	ncRNA
chr6-2	chr6	167823262	167823590	+	43.5	0.800	Intergenic	Intergenic	-25428	NR_163195	6953	Hs.351	NM_004610	ENSG00000203690	TCP10	TCP10A	t-complex 10	pseudo
chr1-4	chr1	19265198	19265526	+	41.5	0.865	intron (NM_001136265, intron 1 of 8)	intron (NM_001136265, intron 1 of 8)	17808	NM_001136265	126917	Hs.466625	NM_001136265	ENSG00000169991	IFFO2	-	intermediate filament family orphan 2	protein-coding
chr10-15	chr10	42527870	42528198	+	39.0	0.927	Intergenic	ALR/Alpha|Satellite|centr	335459	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr8-3	chr8	143423917	143424245	+	39.0	0.687	intron (NM_001291931, intron 2 of 10)	intron (NM_001291931, intron 2 of 10)	60462	NM_145003	203062	Hs.370931	NM_145003	ENSG00000171045	TSNARE1	-	t-SNARE domain containing 1	protein-coding
chr4-2	chr4	184644307	184644635	+	39.0	0.822	Intergenic	Intergenic	64025	NM_021942	60684	Hs.443240	NM_021942	ENSG00000168538	TRAPPC11	C4orf41|FOIGR|GRY|LGMD2S|LGMDR18	trafficking protein particle complex 11	protein-coding
chr22-2	chr22	23450205	23450533	+	38.5	0.774	intron (NM_002073, intron 2 of 2)	intron (NM_002073, intron 2 of 2)	33808	NM_014433	27156	Hs.526920	NM_014433	ENSG00000100218	RSPH14	RTDR1	radial spoke head 14 homolog	protein-coding
chr7-4	chr7	155386991	155387319	+	37.5	0.768	Intergenic	Intergenic	-23714	NM_001369813	285888	Hs.146751	NM_001103176	ENSG00000146910	CNPY1	-	canopy FGF signaling regulator 1	protein-coding
chr19-4	chr19	18744142	18744470	+	36.4	0.875	Intergenic	Intergenic	-3532	NM_018316	55295	Hs.250632	NM_018316	ENSG00000167487	KLHL26	-	kelch like family member 26	protein-coding
chr3-2	chr3	182833925	182834253	+	35.9	0.711	Intergenic	Intergenic	-16714	NM_001363880	56922	Hs.47649	NM_020166	ENSG00000078070	MCCC1	MCC-B|MCCA	methylcrotonoyl-CoA carboxylase 1	protein-coding
chr1-9	chr1	15815632	15815960	+	34.9	0.782	intron (NM_015849, intron 7 of 7)	intron (NM_015849, intron 7 of 7)	13197	NM_015849	51032	Hs.631871	NM_015849	ENSG00000215704	CELA2B	ELA2B	chymotrypsin like elastase 2B	protein-coding
chr1-7	chr1	149224462	149224790	+	34.9	0.886	promoter-TSS (NR_004400).5	promoter-TSS (NR_004400).5	-405	NR_004421	6060		NR_004421	ENSG00000207389	RNU1-4	HSD2|HSD5|HSD6|HSD7|RNU1|RNU1D2|RNU1E2|RNU1F1|RNU1G1|RNU1G2|U1B2|U1D2|U1E2|U1F	RNA, U1 small nuclear 4	snRNA
chr7-5	chr7	1764789	1765117	+	34.9	0.699	intron (NM_001128636, intron 2 of 2)	intron (NM_001128636, intron 2 of 2)	16993	NR_120509	101927125	Hs.633957	NR_120508	ENSG00000236081	ELFN1-AS1	MYCLo-2	ELFN1 antisense RNA 1	ncRNA
chr19-6	chr19	49055315	49055643	+	34.4	0.769	promoter-TSS (NM_177973)	promoter-TSS (NM_177973)	50	NM_177973	6820	Hs.369331	NM_004605	ENSG00000088002	SULT2B1	ARCI14|HSST2	sulfotransferase family 2B member 1	protein-coding
chr1-8	chr1	174943859	174944187	+	33.4	0.807	intron (NM_001366446, intron 21 of 25)	intron (NM_001366446, intron 21 of 25)	10108	NM_001243764	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
chr2-5	chr2	92269363	92269691	+	33.4	0.875	Intergenic	HSATII|Satellite|Satellite	140368	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr17-5	chr17	2940	3268	+	32.9	0.800	Intergenic	Intergenic	33938	NR_104420	100506371		NR_104420		LINC02091	-	long intergenic non-protein coding RNA 2091	ncRNA
chr1-10	chr1	161981133	161981461	+	32.9	0.738	intron (NM_001347700, intron 3 of 7)	intron (NM_001347700, intron 3 of 7)	12958	NM_015441	25903	Hs.507515	NM_015441	ENSG00000162745	OLFML2B	-	olfactomedin like 2B	protein-coding
chr16-18	chr16	84877509	84877837	+	31.9	0.833	intron (NM_031476, intron 2 of 14)	intron (NM_031476, intron 2 of 14)	24082	NM_031476	83716	Hs.513779	NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
chrY-2	chrY	58827185	58827513	+	31.4	0.970	Intergenic	(CATTC)n|Satellite|Satellite	-273054	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr7-6	chr7	1595881	1596209	+	31.4	0.875	promoter-TSS (NM_001097620)	promoter-TSS (NM_001097620)	-204	NM_001097620	202915	Hs.592174	NM_152689	ENSG00000164855	TMEM184A	SDMG1	transmembrane protein 184A	protein-coding
chr17-6	chr17	78466068	78466396	+	30.9	0.624	Intergenic	(TGG)n|Simple_repeat|Simple_repeat	-15825	NM_002522	4884	Hs.514556	NM_002522	ENSG00000171246	NPTX1	NP1	neuronal pentraxin 1	protein-coding
chr2-6	chr2	133339569	133339897	+	30.4	0.845	intron (NM_001508, intron 1 of 1)	intron (NM_001508, intron 1 of 1)	88045	NM_001321235	116372	Hs.432395	NM_144586	ENSG00000150551	LYPD1	LYPDC1|PHTS	LY6/PLAUR domain containing 1	protein-coding
chr17-7	chr17	79924699	79925027	+	29.9	0.847	Intergenic	Intergenic	-5800	NM_178493	147111	Hs.106137	NM_178493	ENSG00000185269	NOTUM	hNOTUM	notum, palmitoleoyl-protein carboxylesterase	protein-coding
chr11-2	chr11	68070130	68070458	+	29.9	0.912	Intergenic	LTR78|LTR|ERV1	-9765	NM_002335	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
chr11-4	chr11	474150	474478	+	29.4	0.773	intron (NM_030783, intron 3 of 11)	intron (NM_030783, intron 3 of 11)	24035	NR_138046	81490	Hs.12851	NM_030783	ENSG00000174915	PTDSS2	PSS2	phosphatidylserine synthase 2	protein-coding
chr16-20	chr16	85394056	85394384	+	29.4	0.909	Intergenic	CpG	-54289	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr11-3	chr11	36274820	36275148	+	28.8	0.781	Intergenic	Intergenic	35990	NM_001101653	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
chr1-13	chr1	20141276	20141604	+	28.8	0.730	exon (NM_019062, exon 1 of 1)	exon (NM_019062, exon 1 of 1)	336	NM_019062	54546	Hs.124835	NM_019062	ENSG00000178828	RNF186	-	ring finger protein 186	protein-coding
chr17-9	chr17	39388762	39389090	+	28.8	0.833	exon (NM_031962, exon 1 of 1)	exon (NM_031962, exon 1 of 1)	174	NM_001318227	81870	Hs.722077	NM_030975	ENSG00000198083	KRTAP9-9	KAP9.5|KAP9.9|KRTAP9-5|KRTAP9.9	keratin associated protein 9-9	protein-coding
chr22-3	chr22	24812031	24812359	+	28.8	0.903	3' UTR (NM_015330, exon 17 of 17)	3' UTR (NM_015330, exon 17 of 17)	-7370	NM_001278500	135	Hs.197029	NM_000675	ENSG00000128271	ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor	protein-coding
chr11-5	chr11	1896981	1897309	+	28.8	0.794	intron (NM_001013254, intron 1 of 10)	intron (NM_001013254, intron 1 of 10)	-4130	NR_107001	102465993		NR_107001	ENSG00000284594	MIR7847	hsa-mir-7847	microRNA 7847	ncRNA
