PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-1	chr10	42385140	42385324	+	1629.9	0.933	Intergenic	HSATII|Satellite|Satellite	478261	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr10-2	chr10	42599538	42599722	+	560.9	0.790	Intergenic	HSATII|Satellite|Satellite	263863	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr10-3	chr10	42392633	42392817	+	368.7	0.976	Intergenic	HSATII|Satellite|Satellite	470768	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr10-6	chr10	42387216	42387400	+	264.0	0.946	Intergenic	HSATII|Satellite|Satellite	476185	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr21-1	chr21	11186536	11186720	+	180.0	0.965	Intergenic	AluSc8|SINE|Alu	-87691	NM_001187	574	Hs.545789	NM_001187		BAGE	BAGE1|CT2.1	B melanoma antigen	protein-coding
chr10-9	chr10	42396791	42396975	+	163.7	0.856	Intergenic	HSATII|Satellite|Satellite	466610	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr10-8	chr10	42393730	42393914	+	152.6	0.849	Intergenic	HSATII|Satellite|Satellite	469671	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr9_gl000199_random-1	chr9_gl000199_random	34371	34555	+	139.8	0.985	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr22-1	chr22	18879923	18880107	+	128.5	0.992	intron (NR_136571, intron 1 of 11)	AluSc8|SINE|Alu	1929	NR_136571	100996432	Hs.631668	NR_136571		FAM230F	LINC01663	family with sequence similarity 230 member F	ncRNA
chr3-1	chr3	196625621	196625805	+	118.0	0.968	intron (NM_001308045, intron 2 of 8)	HSATII|Satellite|Satellite	30922	NM_152699	205564	Hs.240770	NM_152699	ENSG00000119231	SENP5	-	SUMO specific peptidase 5	protein-coding
chrY-1	chrY	58827255	58827439	+	115.0	0.997	Intergenic	(CATTC)n|Satellite|Satellite	-273056	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr11-1	chr11	51579529	51579713	+	103.2	0.987	Intergenic	ALR/Alpha|Satellite|centr	64339	NM_001004703	119749	Hs.553564	NM_001004703	ENSG00000185926	OR4C46	-	olfactory receptor family 4 subfamily C member 46	protein-coding
chr19-2	chr19	27738398	27738582	+	99.7	0.953	Intergenic	ALR/Alpha|Satellite|centr	-545849	NR_110689	101927151	Hs.567934	NR_110687	ENSG00000267575	LOC101927151	-	uncharacterized LOC101927151	ncRNA
chr21-2	chr21	9826805	9826989	+	91.8	0.756	TTS (NR_037421)	TTS (NR_037421)	447	NR_162105	113218501		NR_162105		MIR10396A	-	microRNA 10396a	ncRNA
chr17-1	chr17	22261494	22261678	+	90.3	0.982	Intergenic	ALR/Alpha|Satellite|centr	239149	NM_001190452	100462977	Hs.740185	NM_001190452	ENSG00000256618	MTRNR2L1	HN1	MT-RNR2 like 1	protein-coding
chrUn_gl000224-2	chrUn_gl000224	4262	4446	+	74.0	0.760	Intergenic	Intergenic	-98149	NR_135482	100505874	Hs.559790	NR_135481		LOC100505874	-	uncharacterized LOC100505874	ncRNA
chr16-11	chr16	33293958	33294142	+	73.0	0.594	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	4652	NR_033866	390705	Hs.278513	NR_033866		LOC390705	-	protein phosphatase 2 regulatory subunit B'', beta pseudogene	pseudo
chr16-13	chr16	33241058	33241242	+	72.8	0.791	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-9568	NR_158162	105369266		NR_158162		LOC105369266	-	uncharacterized LOC105369266	ncRNA
chr2-2	chr2	92269424	92269608	+	70.1	0.917	Intergenic	HSATII|Satellite|Satellite	140357	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr8-1	chr8	43831492	43831676	+	70.0	0.988	Intergenic	ALR/Alpha|Satellite|centr	683999	NM_001005365	340441	Hs.531579	NM_001002920	ENSG00000188877	POTEA	A26A1|CT104.3|POTE-8|POTE8	POTE ankyrin domain family member A	protein-coding
chrY-2	chrY	58855986	58856170	+	69.0	0.995	Intergenic	Intergenic	-244325	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chrUn_gl000226-2	chrUn_gl000226	82	266	+	68.8	0.972	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr18-1	chr18	18520201	18520385	+	67.7	0.821	Intergenic	ALR/Alpha|Satellite|centr	171481	NM_005406	6093	Hs.306307	NM_005406	ENSG00000067900	ROCK1	P160ROCK|ROCK-I	Rho associated coiled-coil containing protein kinase 1	protein-coding
chr18-2	chr18	18518820	18519004	+	66.5	0.705	Intergenic	ALR/Alpha|Satellite|centr	172862	NM_005406	6093	Hs.306307	NM_005406	ENSG00000067900	ROCK1	P160ROCK|ROCK-I	Rho associated coiled-coil containing protein kinase 1	protein-coding
chr2-3	chr2	90482084	90482268	+	62.0	0.766	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	1365799	NR_027238	654342	Hs.469287	NR_027238		LSP1P4	-	LSP1 pseudogene 4	pseudo
chrY-3	chrY	58862637	58862821	+	61.0	0.976	Intergenic	(CATTC)n|Satellite|Satellite	-237674	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr2-4	chr2	87623780	87623964	+	60.7	0.841	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	-131074	NR_146461	112597	Hs.652166	NR_024204	ENSG00000222041	CYTOR	C2orf59|LINC00152|NCRNA00152	cytoskeleton regulator RNA	ncRNA
chrUn_gl000220-32	chrUn_gl000220	102084	102268	+	60.7	0.965	intron (NR_038958, intron 2 of 6)	AluSx|SINE|Alu	-2556	NR_106782	102465433		NR_106782	ENSG00000275950	MIR6724-1	MIR6724|hsa-mir-6724|hsa-mir-6724-1	microRNA 6724-1	ncRNA
chr21-3	chr21	9825772	9825956	+	60.0	0.828	promoter-TSS (NR_037421)	promoter-TSS (NR_037421)	32	NR_037421	100500862		NR_037421	ENSG00000275708	MIR3648-1	MIR3648|hsa-mir-3648-1	microRNA 3648-1	ncRNA
chr2-5	chr2	90485311	90485495	+	58.7	0.817	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	1362572	NR_027238	654342	Hs.469287	NR_027238		LSP1P4	-	LSP1 pseudogene 4	pseudo
chr9_gl000199_random-2	chr9_gl000199_random	168229	168413	+	58.5	0.906	NA	ALR/Alpha|Satellite|centr	NA	NA								
chrUn_gl000225-1	chrUn_gl000225	85581	85765	+	58.3	0.967	NA	BSR/Beta|Satellite|Satellite	NA	NA								
