PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1138	chr13	27946108	27946521	+	0	NA	Intergenic	LTR16A1|LTR|ERVL	-52442	NM_002097	2971	Hs.445977	NM_002097	ENSG00000122034	GTF3A	AP2|TFIIIA	general transcription factor IIIA	protein-coding
1-352	chr14	68987677	68988090	+	0	NA	intron (NM_001321818, intron 10 of 10)	intron (NM_001321818, intron 10 of 10)	107621	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
1-5165	chr6	23656301	23656714	+	0	NA	Intergenic	Intergenic	-469936	NM_080723	140767	Hs.726270	NM_080723	ENSG00000152954	NRSN1	VMP|p24	neurensin 1	protein-coding
1-2789	chr1	26602742	26603155	+	0	NA	intron (NM_001281517, intron 11 of 12)	intron (NM_001281517, intron 11 of 12)	-3629	NM_031286	83442	Hs.109051	NM_031286	ENSG00000142669	SH3BGRL3	HEL-S-297|SH3BP-1|TIP-B1	SH3 domain binding glutamate rich protein like 3	protein-coding
1-6194	chr4	105979340	105979753	+	0	NA	Intergenic	Intergenic	-87486	NM_017628	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
1-5816	chr11	44742838	44743251	+	0	NA	Intergenic	Intergenic	-5468	NM_130783	90139	Hs.385634	NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
1-4251	chr9	95824273	95824686	+	0	NA	intron (NM_001287008, intron 1 of 3)	intron (NM_001287008, intron 1 of 3)	3496	NM_001287007	203328	Hs.88417	NM_145006	ENSG00000157303	SUSD3	-	sushi domain containing 3	protein-coding
1-1846	chr3	45688544	45688957	+	0	NA	intron (NM_014240, intron 2 of 7)	L1ME4a|LINE|L1	41624	NR_033947	644714	Hs.712889	NR_033947		LIMD1-AS1	-	LIMD1 antisense RNA 1	ncRNA
1-725	chr4	174185732	174186145	+	0	NA	intron (NM_017423, intron 2 of 11)	intron (NM_017423, intron 2 of 11)	-3373	NR_036093	100422849		NR_036093	ENSG00000221296	MIR548T	-	microRNA 548t	ncRNA
1-1363	chr1	23003463	23003876	+	0	NA	Intergenic	CpG	23940	NM_000491	713	Hs.8986	NM_000491	ENSG00000173369	C1QB	-	complement C1q B chain	protein-coding
1-4097	chr2	64833509	64833922	+	0	NA	promoter-TSS (NR_034023)	promoter-TSS (NR_034023)	-731	NR_034023	339807	Hs.434736	NR_034023	ENSG00000233694	LINC02579	-	long intergenic non-protein coding RNA 2579	ncRNA
1-3798	chr7	20371473	20371886	+	0	NA	promoter-TSS (NR_110119)	promoter-TSS (NR_110119)	-294	NR_110120	101927811	Hs.285724	NR_110119	ENSG00000271133	LOC101927811	-	uncharacterized LOC101927811	ncRNA
1-2286	chr15	46086950	46087363	+	0	NA	intron (NR_135680, intron 1 of 4)	intron (NR_135680, intron 1 of 4)	89763	NR_135680	105370802	Hs.447522	NR_135680	ENSG00000259200	LOC105370802	-	uncharacterized LOC105370802	ncRNA
1-6206	chr5	10288814	10289227	+	0	NA	intron (NM_138809, intron 2 of 5)	intron (NM_138809, intron 2 of 5)	18994	NM_138809	134147	Hs.192586	NM_138809	ENSG00000164237	CMBL	JS-1	carboxymethylenebutenolidase homolog	protein-coding
1-3768	chr5	171870437	171870850	+	0	NA	intron (NM_001308175, intron 1 of 12)	intron (NM_001308175, intron 1 of 12)	10884	NM_001308175	285590	Hs.285666	NM_001017995	ENSG00000174705	SH3PXD2B	FAD49|FTHS|HOFI|KIAA1295|TKS4|TSK4	SH3 and PX domains 2B	protein-coding
1-7846	chr5	138400905	138401318	+	0	NA	intron (NM_001037633, intron 4 of 10)	intron (NM_001037633, intron 4 of 10)	132946	NM_022464	64374	Hs.483521	NM_022464	ENSG00000120725	SIL1	BAP|MSS|ULG5	SIL1 nucleotide exchange factor	protein-coding
1-4241	chr8	134498454	134498867	+	0	NA	intron (NM_173344, intron 3 of 9)	intron (NM_173344, intron 3 of 9)	85470	NM_173344	6482	Hs.374257	NM_003033	ENSG00000008513	ST3GAL1	Gal-NAc6S|SIAT4A|SIATFL|ST3GalA|ST3GalA.1|ST3GalIA|ST3GalIA,1|ST3O	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
1-6017	chrX	70842368	70842781	+	0	NA	Intergenic	Intergenic	-4213	NM_001142797	2833	Hs.198252	NM_001504	ENSG00000186810	CXCR3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	C-X-C motif chemokine receptor 3	protein-coding
1-6255	chr6	15690739	15691152	+	0	NA	Intergenic	Intergenic	-27656	NM_032122	84062	Hs.571148	NM_032122	ENSG00000047579	DTNBP1	BLOC1S8|DBND|HPS7|My031|SDY	dystrobrevin binding protein 1	protein-coding
1-82	chr18	74104248	74104661	+	0	NA	intron (NM_014643, intron 3 of 7)	(TGGG)n|Simple_repeat|Simple_repeat	-99154	NR_136504	101927989	Hs.665186	NR_136504	ENSG00000265778	LOC101927989	-	uncharacterized LOC101927989	ncRNA
1-1552	chr17	11923784	11924197	+	0	NA	promoter-TSS (NM_003010)	promoter-TSS (NM_003010)	-204	NM_003010	6416	Hs.514681	NM_003010	ENSG00000065559	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	mitogen-activated protein kinase kinase 4	protein-coding
1-5757	chr8	102373179	102373592	+	0	NA	Intergenic	Intergenic	-7736	NR_002182	83955	Hs.567608	NM_032031	ENSG00000228224	NACA4P	FKSG17|NACAP1	NACA family member 4, pseudogene	pseudo
1-2414	chr6	144982525	144982938	+	0	NA	intron (NM_007124, intron 50 of 73)	intron (NM_007124, intron 50 of 73)	255940	NR_132778	106635530		NR_132778		SNORA98	-	small nucleolar RNA, H/ACA box 98	snoRNA
1-7001	chr16	9186859	9187272	+	0	NA	intron (NM_014117, intron 2 of 3)	MER20|DNA|hAT-Charlie	1564	NM_014117	29035	Hs.221497	NM_014117	ENSG00000182831	C16orf72	PRO0149	chromosome 16 open reading frame 72	protein-coding
1-4584	chr3	113414680	113415093	+	0	NA	intron (NM_001009899, intron 1 of 6)	intron (NM_001009899, intron 1 of 6)	603	NM_001009899	205717	Hs.632570	NM_001009899	ENSG00000176542	USF3	KIAA2018	upstream transcription factor family member 3	protein-coding
1-1956	chr18	55785188	55785601	+	0	NA	intron (NM_001144964, intron 1 of 30)	intron (NM_001144964, intron 1 of 30)	-31158	NM_001144968	23327	Hs.185677	NM_015277	ENSG00000049759	NEDD4L	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	NEDD4 like E3 ubiquitin protein ligase	protein-coding
1-151	chr13	114320497	114320910	+	0	NA	promoter-TSS (NM_002929)	promoter-TSS (NM_002929)	-831	NM_002929	6011	Hs.103501	NM_002929	ENSG00000185974	GRK1	GPRK1|RHOK|RK	G protein-coupled receptor kinase 1	protein-coding
1-4857	chr15	67016142	67016555	+	0	NA	intron (NR_027654, intron 4 of 4)	L2c|LINE|L2	21774	NR_027654	4091	Hs.153863	NM_005585	ENSG00000137834	SMAD6	AOVD2|HsT17432|MADH6|MADH7	SMAD family member 6	protein-coding
1-986	chr5	115880512	115880925	+	0	NA	intron (NM_020796, intron 1 of 18)	LTR10A|LTR|ERV1	-29396	NR_147170	105379132		NR_147170		SEMA6A-AS2	-	SEMA6A antisense RNA 2	ncRNA
1-7426	chr9	87828807	87829220	+	0	NA	Intergenic	L2b|LINE|L2	508197	NM_001369552	4915	Hs.494312	NM_006180	ENSG00000148053	NTRK2	EIEE58|GP145-TrkB|OBHD|TRKB|trk-B	neurotrophic receptor tyrosine kinase 2	protein-coding
1-1879	chr8	29133567	29133980	+	0	NA	Intergenic	Intergenic	-13186	NM_015254	23303	Hs.444767	NM_015254	ENSG00000197892	KIF13B	GAKIN	kinesin family member 13B	protein-coding
1-3774	chr6	19860751	19861164	+	0	NA	Intergenic	Intergenic	23356	NM_001546	3400	Hs.519601	NM_001546	ENSG00000172201	ID4	IDB4|bHLHb27	inhibitor of DNA binding 4, HLH protein	protein-coding
1-4189	chr6	15949513	15949926	+	0	NA	Intergenic	Intergenic	-179598	NM_013262	29116	Hs.484738	NM_013262	ENSG00000007944	MYLIP	IDOL|MIR	myosin regulatory light chain interacting protein	protein-coding
1-755	chr1	43988718	43989131	+	0	NA	Intergenic	L2c|LINE|L2	-2784	NM_001329137	5792	Hs.272062	NM_002840	ENSG00000142949	PTPRF	BNAH2|LAR	protein tyrosine phosphatase receptor type F	protein-coding
1-3570	chr16	67474992	67475405	+	0	NA	intron (NM_004691, intron 4 of 7)	intron (NM_004691, intron 4 of 7)	10174	NM_000196	3291	Hs.1376	NM_000196	ENSG00000176387	HSD11B2	AME|AME1|HSD11K|HSD2|SDR9C3	hydroxysteroid 11-beta dehydrogenase 2	protein-coding
1-1983	chr1	43931133	43931546	+	0	NA	Intergenic	LTR33|LTR|ERVL	-11679	NM_001190880	81888	Hs.709864	NM_031207	ENSG00000178922	HYI	HT036	hydroxypyruvate isomerase (putative)	protein-coding
1-2225	chr7	30029232	30029645	+	0	NA	promoter-TSS (NM_014766)	promoter-TSS (NM_014766)	-21	NM_001145515	9805	Hs.520740	NM_014766	ENSG00000136193	SCRN1	SES1	secernin 1	protein-coding
1-5330	chr12	113481002	113481415	+	0	NA	Intergenic	Intergenic	-14454	NM_004416	1840	Hs.372152	NM_004416	ENSG00000135144	DTX1	RNF140|hDx-1	deltex E3 ubiquitin ligase 1	protein-coding
1-7860	chr17	47178533	47178946	+	0	NA	Intergenic	Intergenic	-31083	NM_001159388	124872	Hs.374679	NM_153446	ENSG00000167080	B4GALNT2	B4GALT|GALGT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	protein-coding
