PeakID (cmd=annotatePeaks.pl PDX1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
14570	chr4	129901875	129902539	+	0	NA	intron (NM_144643, intron 9 of 20)	L2a|LINE|L2	112487	NM_001300897	132320	Hs.654690	NM_144643	ENSG00000151466	SCLT1	CAP-1A|CAP1A	sodium channel and clathrin linker 1	protein-coding
9683	chr2	29269992	29270844	+	0	NA	intron (NM_001321538, intron 18 of 18)	intron (NM_001321538, intron 18 of 18)	26971	NM_001029883	388939	Hs.354243	NM_001029883	ENSG00000179270	PCARE	C2orf71|RP54	photoreceptor cilium actin regulator	protein-coding
5879	chr14	32699007	32699868	+	0	NA	Intergenic	Intergenic	-26962	NR_004394	26827		NR_004394	ENSG00000206625	RNU6-1	RNU6|RNU6A|U6|U6-1	RNA, U6 small nuclear 1	snRNA
5403	chr13	43564022	43565565	+	0	NA	intron (NM_001330543, intron 1 of 11)	intron (NM_001330543, intron 1 of 11)	1584	NM_001002264	94240	Hs.546467	NM_033255	ENSG00000133106	EPSTI1	BRESI1	epithelial stromal interaction 1	protein-coding
20377	chr9	88151211	88152034	+	0	NA	Intergenic	Intergenic	205322	NM_001286717	23287	Hs.719980	NM_015239	ENSG00000135049	AGTPBP1	CCP1|CONDCA|NNA1	ATP/GTP binding protein 1	protein-coding
10837	chr2	198317209	198318609	+	0	NA	promoter-TSS (NM_001320818)	promoter-TSS (NM_001320818)	-238	NM_025147	80219	Hs.606592	NM_025147	ENSG00000115520	COQ10B	-	coenzyme Q10B	protein-coding
17001	chr6	99342690	99343401	+	0	NA	intron (NR_103836, intron 5 of 7)	intron (NR_103836, intron 5 of 7)	52777	NR_103836	26235	Hs.536850	NM_012160	ENSG00000112234	FBXL4	FBL4|FBL5|MTDPS13	F-box and leucine rich repeat protein 4	protein-coding
9543	chr2	9815206	9815982	+	0	NA	Intergenic	Tigger14a|DNA|TcMar-Tigger	-44468	NM_006826	10971	Hs.74405	NM_006826	ENSG00000134308	YWHAQ	14-3-3|1C5|HS1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	protein-coding
20992	chrX	39814150	39814899	+	0	NA	Intergenic	L2c|LINE|L2	117709	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
13419	chr3	152384108	152384750	+	0	NA	Intergenic	Intergenic	-168491	NM_002563	5028	Hs.79881	NM_002563	ENSG00000169860	P2RY1	P2Y1|SARCC	purinergic receptor P2Y1	protein-coding
870	chr1	92316482	92317801	+	0	NA	intron (NR_036634, intron 2 of 17)	intron (NR_036634, intron 2 of 17)	34567	NM_001195683	7049	Hs.482390	NM_003243	ENSG00000069702	TGFBR3	BGCAN|betaglycan	transforming growth factor beta receptor 3	protein-coding
13508	chr3	168061039	168061687	+	0	NA	intron (NR_021485, intron 3 of 15)	MIRc|SINE|MIR	94053	NR_021485	93556	Hs.478158	NR_021485		EGFEM1P	C3orf50|NCRNA00259	EGF like and EMI domain containing 1, pseudogene	pseudo
593	chr1	54422061	54423438	+	0	NA	intron (NM_001256409, intron 3 of 8)	intron (NM_001256409, intron 3 of 8)	10726	NM_001256409	115353	Hs.40094	NM_052940	ENSG00000116212	LRRC42	dJ167A19.4	leucine rich repeat containing 42	protein-coding
6668	chr15	48670222	48670990	+	0	NA	Intergenic	Intergenic	46212	NM_001948	1854	Hs.527980	NM_001948	ENSG00000128951	DUT	dUTPase	deoxyuridine triphosphatase	protein-coding
5934	chr14	39770910	39771900	+	0	NA	exon (NM_001354137, exon 10 of 24)	exon (NM_001354137, exon 10 of 24)	34816	NM_001354141	4253	Hs.287694	NM_005930	ENSG00000150527	MIA2	CTAGE5|MEA6|MGEA|MGEA11|MGEA6|TALI	MIA SH3 domain ER export factor 2	protein-coding
6340	chr14	91164661	91165359	+	0	NA	non-coding (NR_135190, exon 2 of 2)	non-coding (NR_135190, exon 2 of 2)	1333	NR_135190	105370622	Hs.662373	NR_135190	ENSG00000258716	LOC105370622	-	uncharacterized LOC105370622	ncRNA
1174	chr1	161123435	161124217	+	0	NA	promoter-TSS (NM_016406)	promoter-TSS (NM_016406)	58	NM_016406	51506	Hs.301412	NM_016406	ENSG00000143222	UFC1	HSPC155|NEDSG	ubiquitin-fold modifier conjugating enzyme 1	protein-coding
13002	chr3	106328459	106329020	+	0	NA	Intergenic	Intergenic	630746	NR_028303	100302640	Hs.648607	NR_028303	ENSG00000242759	LINC00882	-	long intergenic non-protein coding RNA 882	ncRNA
128	chr1	10851219	10852330	+	0	NA	intron (NM_001079843, intron 1 of 20)	intron (NM_001079843, intron 1 of 20)	4929	NM_001079843	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
12184	chr22	42475366	42476411	+	0	NA	promoter-TSS (NR_146717)	promoter-TSS (NR_146717)	-65	NR_146717	91689	Hs.306083	NM_033318	ENSG00000183172	SMDT1	C22orf32|DDDD|EMRE	single-pass membrane protein with aspartate rich tail 1	protein-coding
13703	chr3	185649213	185650096	+	0	NA	intron (NM_004593, intron 1 of 8)	intron (NM_004593, intron 1 of 8)	6148	NM_001243879	6434	Hs.533122	NM_004593	ENSG00000136527	TRA2B	Htra2-beta|PPP1R156|SFRS10|SRFS10|TRA2-BETA|TRAN2B	transformer 2 beta homolog	protein-coding
227	chr1	20652232	20652957	+	0	NA	intron (NM_001039500, intron 8 of 21)	intron (NM_001039500, intron 8 of 21)	35226	NM_001039500	127731	Hs.205178	NM_144623	ENSG00000158816	VWA5B1	-	von Willebrand factor A domain containing 5B1	protein-coding
6768	chr15	61330435	61331104	+	0	NA	intron (NM_134261, intron 1 of 10)	intron (NM_134261, intron 1 of 10)	190732	NM_134261	6095	Hs.560343	NM_002943	ENSG00000069667	RORA	IDDECA|NR1F1|ROR1|ROR2|ROR3|RZR-ALPHA|RZRA	RAR related orphan receptor A	protein-coding
6152	chr14	68161317	68162127	+	0	NA	intron (NM_016026, intron 1 of 6)	intron (NM_016026, intron 1 of 6)	759	NM_016026	51109	Hs.719925	NM_016026	ENSG00000072042	RDH11	ARSDR1|CGI82|HCBP12|MDT1|PSDR1|RALR1|RDJCSS|SCALD|SDR7C1	retinol dehydrogenase 11	protein-coding
15210	chr5	41447581	41448236	+	0	NA	intron (NM_001005473, intron 1 of 2)	intron (NM_001005473, intron 1 of 2)	62795	NM_001005473	345557	Hs.145404	NM_001005473	ENSG00000182836	PLCXD3	-	phosphatidylinositol specific phospholipase C X domain containing 3	protein-coding
9178	chr19	18533583	18534262	+	0	NA	intron (NM_001009998, intron 1 of 16)	intron (NM_001009998, intron 1 of 16)	3714	NM_032627	170463	Hs.515259	NM_032627	ENSG00000130511	SSBP4	-	single stranded DNA binding protein 4	protein-coding
21124	chrX	85552140	85552936	+	0	NA	intron (NM_001139515, intron 1 of 11)	intron (NM_001139515, intron 1 of 11)	34567	NM_001139515	117154	Hs.86603	NM_053281	ENSG00000126733	DACH2	-	dachshund family transcription factor 2	protein-coding
15943	chr5	134161943	134162943	+	0	NA	intron (NR_125341, intron 21 of 22)	intron (NR_125341, intron 21 of 22)	-18927	NM_152409	134553	Hs.708536	NM_152409	ENSG00000181904	C5orf24	-	chromosome 5 open reading frame 24	protein-coding
20131	chr9	26955148	26956555	+	0	NA	promoter-TSS (NM_001349928)	promoter-TSS (NM_001349928)	454	NR_121605	101929602	Hs.127665	NR_121605	ENSG00000234676	IFT74-AS1	-	IFT74 antisense RNA 1	ncRNA
12806	chr3	71190285	71191050	+	0	NA	intron (NR_146142, intron 6 of 19)	intron (NR_146142, intron 6 of 19)	-9319	NM_001349342	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
14560	chr4	129464406	129466129	+	0	NA	Intergenic	Intergenic	116096	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
6853	chr15	68417201	68417647	+	0	NA	intron (NM_016166, intron 2 of 13)	HAL1|LINE|L1	70510	NM_001320687	8554	Hs.162458	NM_016166	ENSG00000033800	PIAS1	DDXBP1|GBP|GU/RH-II|ZMIZ3	protein inhibitor of activated STAT 1	protein-coding
12823	chr3	72355637	72357163	+	0	NA	Intergenic	Intergenic	139374	NM_012234	23429	Hs.7910	NM_012234	ENSG00000163602	RYBP	AAP1|APAP-1|DEDAF|YEAF1	RING1 and YY1 binding protein	protein-coding
13846	chr4	6981496	6981871	+	0	NA	intron (NM_020773, intron 3 of 13)	L1MEf|LINE|L1	-7253	NM_001113363	57533	Hs.518611	NM_020773	ENSG00000132405	TBC1D14	-	TBC1 domain family member 14	protein-coding
17670	chr6	168231165	168231728	+	0	NA	intron (NM_001291964, intron 1 of 32)	intron (NM_001291964, intron 1 of 32)	3131	NM_001291964	4301	Hs.614974	NM_005936	ENSG00000130396	AFDN	AF6|MLL-AF6|MLLT4|l-afadin	afadin, adherens junction formation factor	protein-coding
6797	chr15	62939631	62940281	+	0	NA	intron (NM_015059, intron 1 of 55)	intron (NM_015059, intron 1 of 55)	446	NM_015059	83660	Hs.569438	NM_015059	ENSG00000171914	TLN2	ILWEQ	talin 2	protein-coding
1885	chr1	238319075	238319741	+	0	NA	Intergenic	L1MC5|LINE|L1	-265186	NM_021186	57829	Hs.136241	NM_021186	ENSG00000116996	ZP4	ZBP|ZP1|ZPB|Zp-4	zona pellucida glycoprotein 4	protein-coding
4790	chr12	99505419	99506049	+	0	NA	intron (NM_181670, intron 1 of 12)	intron (NM_181670, intron 1 of 12)	18597	NR_110095	101928937	Hs.555499	NR_110095	ENSG00000258039	LOC101928937	-	uncharacterized LOC101928937	ncRNA
16584	chr6	33385581	33386735	+	0	NA	promoter-TSS (NM_001014838).2	promoter-TSS (NM_001014838).2	-93	NM_001014433	51596	Hs.520070	NM_015921	ENSG00000112514	CUTA	ACHAP|C6orf82	cutA divalent cation tolerance homolog	protein-coding
21116	chrX	81464320	81464960	+	0	NA	Intergenic	Intergenic	1007039	NM_003022	6451	Hs.108029	NM_003022	ENSG00000131171	SH3BGRL	HEL-S-115|SH3BGR	SH3 domain binding glutamate rich protein like	protein-coding
6315	chr14	89817672	89818456	+	0	NA	intron (NM_001085471, intron 2 of 6)	intron (NM_001085471, intron 2 of 6)	65513	NM_005197	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
2061	chr10	13443833	13444618	+	0	NA	Intergenic	Intergenic	-53927	NM_001195602	22929	Hs.124027	NM_012247	ENSG00000086475	SEPHS1	SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
17037	chr6	104674675	104675462	+	0	NA	Intergenic	Intergenic	632353	NM_001321083	57531	Hs.434340	NM_020771	ENSG00000085382	HACE1	SPPRS	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	protein-coding
14401	chr4	100482237	100482777	+	0	NA	intron (NM_001134665, intron 1 of 7)	intron (NM_001134665, intron 1 of 7)	2373	NM_152292	93587	Hs.380412	NM_152292	ENSG00000145331	TRMT10A	HEL-S-88|MSSGM|MSSGM1|RG9MTD2|TRM10	tRNA methyltransferase 10A	protein-coding
6904	chr15	73650431	73651296	+	0	NA	intron (NM_005477, intron 1 of 7)	intron (NM_005477, intron 1 of 7)	10436	NM_005477	10021	Hs.86941	NM_005477	ENSG00000138622	HCN4	SSS2	hyperpolarization activated cyclic nucleotide gated potassium channel 4	protein-coding
