PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1:8214934	chr1	8214835	8215035	+	1000	NA	Intergenic	Intergenic	-53797	NR_125998	102724539	Hs.516816	NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA
1:32110660	chr1	32110561	32110761	+	984	NA	promoter-TSS (NM_001359651)	promoter-TSS (NM_001359651)	-184	NR_033686	553115	Hs.470417	NM_012392	ENSG00000162517	PEF1	ABP32|PEF1A	penta-EF-hand domain containing 1	protein-coding
17:38506819	chr17	38506720	38506920	+	955	NA	intron (NM_001024809, intron 3 of 7)	intron (NM_001024809, intron 3 of 7)	-7432	NR_110861	101929693	Hs.655717	NR_110861	ENSG00000265666	RARA-AS1	-	RARA antisense RNA 1	ncRNA
14:24583935	chr14	24583836	24584036	+	944	NA	promoter-TSS (NR_028099)	promoter-TSS (NR_028099)	30	NM_001163484	80344	Hs.525251	NM_025230	ENSG00000100897	DCAF11	GL014|PRO2389|WDR23	DDB1 and CUL4 associated factor 11	protein-coding
10:45474305	chr10	45474206	45474406	+	917	NA	promoter-TSS (NM_007021)	promoter-TSS (NM_007021)	-49	NM_007021	11067	Hs.93675	NM_007021	ENSG00000165507	DEPP1	C10orf10|DEPP|FIG|Fseg	DEPP1 autophagy regulator	protein-coding
11:60609376	chr11	60609277	60609477	+	908	NA	promoter-TSS (NM_024098)	promoter-TSS (NM_024098)	-209	NM_024098	79080	Hs.4253	NM_024098	ENSG00000110104	CCDC86	-	coiled-coil domain containing 86	protein-coding
7:120591221	chr7	120591122	120591322	+	868	NA	exon (NM_198267, exon 2 of 5)	exon (NM_198267, exon 2 of 5)	391	NM_198267	54556	Hs.489811	NM_019071	ENSG00000071243	ING3	Eaf4|ING2|MEAF4|p47ING3	inhibitor of growth family member 3	protein-coding
14:100029701	chr14	100029602	100029802	+	858	NA	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	40842	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
19:46850811	chr19	46850712	46850912	+	853	NA	intron (NM_001204284, intron 1 of 11)	intron (NM_001204284, intron 1 of 11)	468	NM_006247	5536	Hs.654604	NM_006247	ENSG00000011485	PPP5C	PP5|PPP5|PPT	protein phosphatase 5 catalytic subunit	protein-coding
12:122039107	chr12	122039008	122039208	+	833	NA	Intergenic	Intergenic	4674	NR_049838	100847078		NR_049838	ENSG00000265470	MIR548AQ	-	microRNA 548aq	ncRNA
5:159492444	chr5	159492345	159492545	+	831	NA	3' UTR (NM_003314, exon 8 of 8)	3' UTR (NM_003314, exon 8 of 8)	54012	NM_001349733	114825	Hs.744960	NM_052927	ENSG00000170234	PWWP2A	MST101	PWWP domain containing 2A	protein-coding
16:86609598	chr16	86609499	86609699	+	831	NA	Intergenic	CpG	-2516	NM_005250	2300	Hs.533830	NM_005250	ENSG00000176678	FOXL1	FKH6|FKHL11|FREAC7	forkhead box L1	protein-coding
20:19739598	chr20	19739499	19739699	+	831	NA	Intergenic	CpG	-127566	NM_001242581	54453	Hs.472270	NM_018993	ENSG00000132669	RIN2	MACS|RASSF4	Ras and Rab interactor 2	protein-coding
9:74744824	chr9	74744725	74744925	+	822	NA	intron (NM_001242507, intron 1 of 13)	intron (NM_001242507, intron 1 of 13)	15314	NM_001242507	9615	Hs.494163	NM_004293	ENSG00000119125	GDA	CYPIN|GAH|GUANASE|NEDASIN	guanine deaminase	protein-coding
3:99721821	chr3	99721722	99721922	+	816	NA	intron (NM_182909, intron 1 of 5)	intron (NM_182909, intron 1 of 5)	-38580	NR_037486	100500859		NR_037486	ENSG00000264897	MIR3921	-	microRNA 3921	ncRNA
10:99548897	chr10	99548798	99548998	+	813	NA	Intergenic	Intergenic	-17142	NM_003015	6425	Hs.279565	NM_003015	ENSG00000120057	SFRP5	SARP3	secreted frizzled related protein 5	protein-coding
7:51343521	chr7	51343422	51343622	+	801	NA	intron (NM_001346441, intron 1 of 12)	intron (NM_001346441, intron 1 of 12)	40984	NM_001346443	23242	Hs.99141	NM_015198	ENSG00000106078	COBL	-	cordon-bleu WH2 repeat protein	protein-coding
10:2122121	chr10	2122022	2122222	+	801	NA	Intergenic	Intergenic	-3839	NR_106720	102465944		NR_106720	ENSG00000278069	MIR6072	hsa-mir-6072	microRNA 6072	ncRNA
15:95870228	chr15	95870129	95870329	+	797	NA	promoter-TSS (NR_034095)	promoter-TSS (NR_034095)	100	NR_034095	400456	Hs.536404	NR_034095	ENSG00000248441	LINC01197	-	long intergenic non-protein coding RNA 1197	ncRNA
15:83518520	chr15	83518421	83518621	+	773	NA	exon (NM_004839, exon 9 of 9)	exon (NM_004839, exon 9 of 9)	40141	NM_001080435	123720	Hs.377360	NM_001080435	ENSG00000156232	WHAMM	WHAMM1|WHDC1	WASP homolog associated with actin, golgi membranes and microtubules	protein-coding
